game, round, distFromTarget, distFromCentre, floatX, floatY, typeOfPest
0, 1, 13.648499, 599.50714, 93.74109, 647.002, ferret
0, 2, 9.861561, 533.8929, 135.6651, 575.1796, rat
0, 3, 8.9479, 378.8241, 263.90048, 445.3525, cat
0, 4, 19.447931, 247.30788, 394.75677, 368.11044, ferret
0, 5, 13.492455, 353.1247, 857.86786, 122.09598, rat
0, 6, 17.060059, 558.7666, 124.350525, 615.23413, ferret
0, 7, 39.5555, 354.58347, 312.48975, 535.89136, ferret
0, 8, 21.292454, 226.17342, 413.82672, 400.24963, cat
0, 9, 22.147963, 468.3568, 258.91907, 127.72182, ferret
0, 10, 26.673838, 194.94762, 830.8796, 360.3823, rat
0, 11, 19.825075, 235.53697, 729.2345, 182.02094, rat
0, 12, 10.52845, 295.4915, 934.2565, 426.98782, ferret
0, 13, 40.10112, 478.1703, 1117.3324, 428.29465, magpie
0, 14, 29.41708, 327.91122, 344.62604, 257.59216, rat
0, 15, 85.96919, 426.08258, 981.03735, 655.421, rat
0, 16, 12.913163, 212.31396, 523.285, 222.64491, ferret
0, 17, 32.31829, 394.20804, 245.9086, 409.58902, ferret
0, 18, 37.24221, 507.63556, 1094.5765, 625.9514, magpie
0, 19, 43.16805, 256.6001, 879.9739, 490.86334, cat
0, 20, 313.2376, 130.4175, 522.03894, 344.37704, ferret
0, 21, 18.781506, 525.81665, 114.26628, 390.66107, rat
0, 22, 18.51012, 567.2644, 80.21373, 308.1947, rat
0, 23, 57.482513, 424.27017, 398.3689, 51.259987, cat
0, 24, 403.88937, 309.5423, 715.4526, 99.79449, rat
0, 25, 93.50742, 488.9611, 1029.5894, 104.52907, magpie
